# ICM42688 vertical acceleration GUI log
# vertical_accel_mps2=(accel_z_g-1.0)*9.80665
# start_unix=1778752813
host_time_iso,elapsed_s,imu_time_us,imu_sample,imu_temp_c,accel_x_g,accel_y_g,accel_z_g,vertical_accel_g,vertical_accel_mps2,gyro_x_dps,gyro_y_dps,gyro_z_dps,imu_failed_reads
2026-05-14T18:00:14.918,1.678,22170217,1022,25.528,-0.00146,-0.11133,-0.97119,-1.971190,-19.330770,-0.061,0.122,-0.122,1
2026-05-14T18:00:14.919,1.678,22185973,1023,25.574,0.00000,-0.10986,-0.97021,-1.970210,-19.321160,-0.061,0.122,-0.183,1
2026-05-14T18:00:14.925,1.684,22211232,1024,25.543,0.00000,-0.11035,-0.97021,-1.970210,-19.321160,-0.122,0.183,-0.183,1
2026-05-14T18:00:14.944,1.703,22231231,1025,25.543,0.00000,-0.10938,-0.96875,-1.968750,-19.306842,-0.122,0.183,-0.183,1
2026-05-14T18:00:14.956,1.715,22245956,1026,25.574,0.00049,-0.10986,-0.97070,-1.970700,-19.325965,-0.122,0.122,-0.183,1
2026-05-14T18:00:14.981,1.741,22272212,1027,25.574,0.00000,-0.11084,-0.97119,-1.971190,-19.330770,-0.122,0.183,-0.183,1
2026-05-14T18:00:14.994,1.753,22292202,1028,25.589,0.00000,-0.11133,-0.97168,-1.971680,-19.335576,-0.061,0.122,-0.183,1
2026-05-14T18:00:15.019,1.778,22306930,1029,25.559,-0.00049,-0.11182,-0.97021,-1.970210,-19.321160,-0.122,0.183,-0.122,1
2026-05-14T18:00:15.055,1.814,22343940,1030,25.559,-0.00098,-0.11182,-0.97168,-1.971680,-19.335576,-0.061,0.122,-0.183,1
2026-05-14T18:00:15.080,1.840,22369210,1031,25.574,-0.00049,-0.11035,-0.97119,-1.971190,-19.330770,-0.061,0.183,-0.183,1
2026-05-14T18:00:15.093,1.853,22389209,1032,25.543,-0.00098,-0.11133,-0.97070,-1.970700,-19.325965,-0.122,0.183,-0.183,1
2026-05-14T18:00:15.108,1.867,22403942,1033,25.559,-0.00049,-0.11182,-0.97119,-1.971190,-19.330770,-0.061,0.122,-0.122,1
2026-05-14T18:00:15.131,1.890,22430226,1034,25.543,-0.00049,-0.10986,-0.97070,-1.970700,-19.325965,-0.061,0.183,-0.183,1
2026-05-14T18:00:15.155,1.915,22450211,1035,25.543,-0.00098,-0.11084,-0.96973,-1.969730,-19.316453,-0.061,0.183,-0.183,1
2026-05-14T18:00:15.168,1.927,22465956,1036,25.543,-0.00049,-0.10986,-0.97021,-1.970210,-19.321160,-0.061,0.183,-0.244,1
2026-05-14T18:00:15.204,1.963,22491219,1037,25.574,-0.00098,-0.10986,-0.96875,-1.968750,-19.306842,-0.122,0.122,-0.122,1
2026-05-14T18:00:15.217,1.976,22511209,1038,25.604,-0.00098,-0.11084,-0.97021,-1.970210,-19.321160,-0.122,0.122,-0.183,1
2026-05-14T18:00:15.229,1.988,22525967,1039,25.574,0.00098,-0.11084,-0.96924,-1.969240,-19.311647,-0.122,0.183,-0.183,1
2026-05-14T18:00:15.254,2.013,22552226,1040,25.574,-0.00098,-0.10986,-0.97070,-1.970700,-19.325965,-0.061,0.183,-0.183,1
2026-05-14T18:00:15.279,2.038,22572219,1041,25.513,-0.00049,-0.10986,-0.96924,-1.969240,-19.311647,-0.122,0.244,-0.183,1
2026-05-14T18:00:15.291,2.050,22587969,1042,25.543,0.00098,-0.11035,-0.97217,-1.972170,-19.340381,-0.061,0.122,-0.122,1
2026-05-14T18:00:15.325,2.085,22613219,1043,25.589,-0.00146,-0.10986,-0.96875,-1.968750,-19.306842,-0.061,0.183,-0.183,1
2026-05-14T18:00:15.339,2.098,22633210,1044,25.543,-0.00195,-0.10986,-0.96924,-1.969240,-19.311647,-0.122,0.122,-0.122,1
